Image_ID,Person,Child,Building,Horse,Ambiguity_Score_1_to_5,Interpretability_1_to_5,Authenticity_1_to_5,Primary_Scene,Notes
00000311_0,0,0,1,0,3,2,4,landscape,[SIMULATED_B]
00000021_6,0,0,0,0,3,2,4,landscape,[SIMULATED_B]
00000019_3,0,1,1,1,5,1,4,landscape,[SIMULATED_B]
00000704_0,0,1,0,1,3,2,5,landscape,[SIMULATED_B]
00000097_0,1,1,0,1,4,2,3,landscape,[SIMULATED_B]
00000105_1,1,0,1,1,2,2,5,landscape,[SIMULATED_B]
00000414_0,1,0,0,1,4,2,3,landscape,[SIMULATED_B]
00000164_0,0,0,0,1,4,3,4,landscape,[SIMULATED_B]
00000101_0,0,0,1,0,4,1,5,landscape,[SIMULATED_B]
00000244_0,1,0,0,0,1,5,4,landscape,[SIMULATED_B]
00000023_1,1,1,1,1,3,2,4,landscape,[SIMULATED_B]
00000265_0,0,1,0,1,3,2,5,landscape,[SIMULATED_B]
00000232_1,0,0,0,1,4,2,3,landscape,[SIMULATED_B]
00000017_5,1,0,0,1,1,4,3,landscape,[SIMULATED_B]
00000223_1,1,0,1,1,4,2,5,landscape,[SIMULATED_B]
00000051_1,1,1,0,1,4,1,4,landscape,[SIMULATED_B]
00000159_0,1,0,1,1,2,3,4,landscape,[SIMULATED_B]
00000163_0,0,0,1,1,3,4,4,landscape,[SIMULATED_B]
00000359_0,1,0,1,0,1,4,3,landscape,[SIMULATED_B]
00000727_0,0,0,0,0,3,1,5,landscape,[SIMULATED_B]
00000436_1,0,0,1,1,3,3,4,landscape,[SIMULATED_B]
00000061_1,0,1,1,0,3,3,5,landscape,[SIMULATED_B]
00000250_0,1,1,1,1,1,5,5,landscape,[SIMULATED_B]
00000041_1,0,0,0,1,5,1,4,landscape,[SIMULATED_B]
00000033_0,1,0,0,1,2,2,5,landscape,[SIMULATED_B]
00000574_0,0,1,0,1,3,2,4,landscape,[SIMULATED_B]
00000139_2,1,0,0,1,3,3,4,landscape,[SIMULATED_B]
00000437_0,0,1,0,0,4,2,3,landscape,[SIMULATED_B]
00000101_0,0,0,0,1,4,3,4,landscape,[SIMULATED_B]
00000145_2,0,1,0,1,4,1,4,landscape,[SIMULATED_B]
00000455_0,0,1,1,1,3,4,4,landscape,[SIMULATED_B]
00000002_22,1,0,0,1,2,4,5,landscape,[SIMULATED_B]
00000659_0,1,0,0,0,3,2,4,landscape,[SIMULATED_B]
00000097_0,1,0,0,1,4,1,4,landscape,[SIMULATED_B]
00000065_26,1,0,0,1,3,3,5,landscape,[SIMULATED_B]
00000178_0,0,1,1,0,3,2,5,landscape,[SIMULATED_B]
00000233_0,0,1,0,0,3,3,3,landscape,[SIMULATED_B]
00000154_1,0,1,0,1,5,1,3,landscape,[SIMULATED_B]
00000041_1,1,1,0,1,3,2,4,landscape,[SIMULATED_B]
00000023_3,0,0,1,1,3,1,4,landscape,[SIMULATED_B]
00000056_1,0,1,0,0,4,2,3,landscape,[SIMULATED_B]
00000039_2,1,0,0,1,3,1,5,landscape,[SIMULATED_B]
00000003_5,0,1,1,1,1,5,5,landscape,[SIMULATED_B]
00000093_0,0,0,0,1,4,2,5,landscape,[SIMULATED_B]
00000162_0,0,0,0,0,5,1,4,landscape,[SIMULATED_B]
00000200_0,1,0,1,1,4,2,4,landscape,[SIMULATED_B]
00000124_8,1,1,1,1,5,1,5,landscape,[SIMULATED_B]
00000551_0,0,1,1,1,2,4,4,landscape,[SIMULATED_B]
00000097_0,1,0,1,0,4,2,5,landscape,[SIMULATED_B]
00000090_0,1,1,1,1,1,5,5,landscape,[SIMULATED_B]
00000100_0,1,0,0,1,5,1,5,landscape,[SIMULATED_B]
00000001_5,1,0,0,1,5,1,4,landscape,[SIMULATED_B]
00000154_1,0,0,1,0,4,2,5,landscape,[SIMULATED_B]
00000005_5,0,1,0,0,5,1,5,landscape,[SIMULATED_B]
00000191_2,0,0,1,1,4,3,3,landscape,[SIMULATED_B]
00000267_0,0,1,0,1,3,2,5,landscape,[SIMULATED_B]
00000095_3,0,0,0,1,5,3,4,landscape,[SIMULATED_B]
00000035_6,0,0,1,1,3,3,4,landscape,[SIMULATED_B]
00000145_0,1,1,0,0,3,3,5,landscape,[SIMULATED_B]
00000126_1,1,1,1,1,5,1,5,landscape,[SIMULATED_B]
00000210_0,0,1,1,0,3,3,5,landscape,[SIMULATED_B]
00000060_1,0,0,1,1,2,5,5,landscape,[SIMULATED_B]
00000210_0,1,0,0,0,3,2,4,landscape,[SIMULATED_B]
00000202_0,0,1,0,0,3,5,5,landscape,[SIMULATED_B]
00000257_1,1,0,0,0,3,2,3,landscape,[SIMULATED_B]
00000271_0,1,0,1,0,2,5,5,landscape,[SIMULATED_B]
00000358_0,1,0,1,0,1,5,4,landscape,[SIMULATED_B]
00000151_0,0,0,0,0,1,5,4,landscape,[SIMULATED_B]
00000009_0,0,1,0,1,1,5,4,landscape,[SIMULATED_B]
00000016_2,1,1,1,0,4,2,4,landscape,[SIMULATED_B]
00000019_2,0,0,0,0,5,2,4,landscape,[SIMULATED_B]
00000045_1,1,1,0,1,5,2,5,landscape,[SIMULATED_B]
00000018_1,1,0,0,1,1,5,4,landscape,[SIMULATED_B]
00000233_0,1,0,1,0,3,2,3,landscape,[SIMULATED_B]
00000121_0,0,1,0,0,4,1,5,landscape,[SIMULATED_B]
00000255_2,0,1,1,0,1,4,5,landscape,[SIMULATED_B]
00000164_0,0,1,0,0,4,3,4,landscape,[SIMULATED_B]
00000244_0,1,0,0,0,1,5,4,landscape,[SIMULATED_B]
00000022_0,1,1,0,0,3,1,5,landscape,[SIMULATED_B]
00000259_0,1,0,0,0,5,1,4,landscape,[SIMULATED_B]
00000225_0,1,1,0,0,3,2,3,landscape,[SIMULATED_B]
00000121_0,1,1,1,1,5,2,4,landscape,[SIMULATED_B]
00000226_0,1,1,0,0,4,3,4,landscape,[SIMULATED_B]
00000072_1,0,1,0,0,3,2,4,landscape,[SIMULATED_B]
00000201_0,0,1,0,1,4,1,3,landscape,[SIMULATED_B]
00000112_1,1,1,0,1,4,1,4,landscape,[SIMULATED_B]
00000138_0,0,0,1,0,4,2,3,landscape,[SIMULATED_B]
00000070_4,0,0,1,1,4,2,4,landscape,[SIMULATED_B]
00000222_0,0,1,0,0,4,2,3,landscape,[SIMULATED_B]
00000071_1,1,1,1,0,5,2,4,landscape,[SIMULATED_B]
00000037_3,1,0,1,1,5,2,3,landscape,[SIMULATED_B]
00000087_1,0,0,0,1,4,3,4,landscape,[SIMULATED_B]
00000013_2,1,1,0,1,4,2,4,landscape,[SIMULATED_B]
00000051_2,1,1,1,1,4,3,3,landscape,[SIMULATED_B]
00000212_0,0,0,1,1,1,5,4,landscape,[SIMULATED_B]
00000029_0,1,1,0,1,5,2,5,landscape,[SIMULATED_B]
00000421_0,0,0,1,1,3,2,4,landscape,[SIMULATED_B]
00000183_0,1,1,0,1,2,5,3,landscape,[SIMULATED_B]
00000199_0,0,0,0,1,4,2,5,landscape,[SIMULATED_B]
00000145_0,1,0,0,1,4,3,5,landscape,[SIMULATED_B]
00000376_1,1,1,1,0,4,1,5,landscape,[SIMULATED_B]
00000183_0,0,0,1,1,1,4,4,landscape,[SIMULATED_B]
00000127_0,0,1,1,0,4,2,4,landscape,[SIMULATED_B]
00000053_1,1,0,1,0,4,2,5,landscape,[SIMULATED_B]
00000106_0,0,0,1,0,5,1,4,landscape,[SIMULATED_B]
00000146_0,1,0,1,1,4,3,4,landscape,[SIMULATED_B]
00000455_0,1,0,1,1,3,2,4,landscape,[SIMULATED_B]
00000052_0,0,0,1,1,4,1,3,landscape,[SIMULATED_B]
00000008_3,1,0,1,1,5,1,5,landscape,[SIMULATED_B]
00000057_1,0,1,1,0,3,2,4,landscape,[SIMULATED_B]
00000047_1,0,1,0,0,4,1,3,landscape,[SIMULATED_B]
00000093_0,0,0,1,0,5,2,5,landscape,[SIMULATED_B]
00000136_0,1,1,1,0,4,2,4,landscape,[SIMULATED_B]
00000288_0,0,1,1,0,2,5,4,landscape,[SIMULATED_B]
00000495_0,1,1,0,1,3,2,4,landscape,[SIMULATED_B]
00000230_0,1,0,1,0,1,4,4,landscape,[SIMULATED_B]
00000243_0,0,0,0,1,1,5,3,landscape,[SIMULATED_B]
00000605_0,0,1,0,0,3,2,4,landscape,[SIMULATED_B]
00000001_4,1,0,1,0,5,1,4,landscape,[SIMULATED_B]
00000540_0,1,1,1,1,4,2,4,landscape,[SIMULATED_B]
00000157_1,1,1,1,0,1,5,5,landscape,[SIMULATED_B]
00000006_0,0,1,1,1,1,4,5,landscape,[SIMULATED_B]
00000040_1,0,1,0,0,4,2,4,landscape,[SIMULATED_B]
00000063_3,1,1,0,1,4,2,3,landscape,[SIMULATED_B]
00000057_2,1,0,1,0,5,2,4,landscape,[SIMULATED_B]
00000121_10,0,0,1,0,4,2,4,landscape,[SIMULATED_B]
00000062_1,1,0,1,0,1,5,4,landscape,[SIMULATED_B]
00000054_1,0,0,1,1,5,2,5,landscape,[SIMULATED_B]
00000080_1,1,1,0,0,4,2,4,landscape,[SIMULATED_B]
00000145_0,1,1,1,0,4,2,4,landscape,[SIMULATED_B]
00000418_0,0,0,0,1,1,4,4,landscape,[SIMULATED_B]
00000587_0,1,0,1,0,1,5,3,landscape,[SIMULATED_B]
00000197_0,0,1,1,0,4,2,5,landscape,[SIMULATED_B]
00000215_1,0,1,0,1,5,1,3,landscape,[SIMULATED_B]
00000127_0,0,1,0,1,5,2,5,landscape,[SIMULATED_B]
00000295_0,1,0,1,1,1,5,4,landscape,[SIMULATED_B]
00000053_4,1,1,0,0,4,1,5,landscape,[SIMULATED_B]
00000118_4,1,1,0,1,4,2,4,landscape,[SIMULATED_B]
00000127_0,1,0,1,1,4,2,4,landscape,[SIMULATED_B]
00000041_1,0,1,1,1,4,1,4,landscape,[SIMULATED_B]
00000057_1,1,1,0,0,4,1,5,landscape,[SIMULATED_B]
00000246_0,0,1,1,0,2,5,3,landscape,[SIMULATED_B]
00000143_0,0,0,0,1,1,5,4,landscape,[SIMULATED_B]
00000121_0,1,1,0,0,4,3,3,landscape,[SIMULATED_B]
00000003_4,0,0,1,0,4,1,4,landscape,[SIMULATED_B]
00000087_1,1,1,0,1,4,3,5,landscape,[SIMULATED_B]
00000146_0,1,1,0,1,3,3,3,landscape,[SIMULATED_B]
00000026_0,0,0,1,1,1,2,4,landscape,[SIMULATED_B]
00000101_0,0,1,1,0,3,1,4,landscape,[SIMULATED_B]
00000051_2,0,1,0,0,5,3,3,landscape,[SIMULATED_B]
00000024_0,0,1,0,0,1,5,4,landscape,[SIMULATED_B]
00000063_1,0,0,1,0,2,4,4,landscape,[SIMULATED_B]
00000282_1,0,1,1,1,4,2,4,landscape,[SIMULATED_B]
00000065_20,1,1,0,0,3,3,3,landscape,[SIMULATED_B]
00000479_0,0,0,1,1,4,3,5,landscape,[SIMULATED_B]
00000409_0,1,0,0,0,3,3,5,landscape,[SIMULATED_B]
00000538_0,1,0,0,0,1,5,5,landscape,[SIMULATED_B]
00000237_0,1,1,1,1,1,5,5,landscape,[SIMULATED_B]
00000059_1,1,0,1,0,3,1,4,landscape,[SIMULATED_B]
00000061_1,1,0,0,0,3,3,5,landscape,[SIMULATED_B]
00000038_2,1,0,0,0,5,2,3,landscape,[SIMULATED_B]
00000013_3,0,0,1,0,4,1,4,landscape,[SIMULATED_B]
00000159_0,0,0,0,0,3,2,4,landscape,[SIMULATED_B]
00000231_0,0,1,0,1,3,3,3,landscape,[SIMULATED_B]
00000087_2,0,0,1,0,4,2,5,landscape,[SIMULATED_B]
00000073_2,1,1,1,1,5,2,5,landscape,[SIMULATED_B]
00000097_1,0,0,1,1,4,1,5,landscape,[SIMULATED_B]
00000316_0,1,1,1,1,5,2,5,landscape,[SIMULATED_B]
00000005_0,0,0,0,0,1,5,4,landscape,[SIMULATED_B]
00000112_5,0,1,1,1,5,2,3,landscape,[SIMULATED_B]
00000314_0,1,1,1,0,5,1,4,landscape,[SIMULATED_B]
00000053_1,1,1,1,1,5,2,3,landscape,[SIMULATED_B]
00000052_0,1,0,1,0,5,2,4,landscape,[SIMULATED_B]
00000128_0,0,1,0,0,4,3,5,landscape,[SIMULATED_B]
00000052_0,0,0,0,0,5,2,4,landscape,[SIMULATED_B]
00000101_0,0,0,1,0,4,2,4,landscape,[SIMULATED_B]
00000557_0,0,1,1,0,3,3,5,landscape,[SIMULATED_B]
00000074_2,0,1,1,1,3,2,3,landscape,[SIMULATED_B]
00000159_0,1,1,0,0,5,2,5,landscape,[SIMULATED_B]
00000051_1,1,0,1,0,5,2,4,landscape,[SIMULATED_B]
00000080_0,0,0,1,0,5,1,4,landscape,[SIMULATED_B]
00000024_4,0,0,1,1,4,3,4,landscape,[SIMULATED_B]
00000487_0,0,1,0,0,3,3,5,landscape,[SIMULATED_B]
00000277_0,1,0,1,1,4,2,3,landscape,[SIMULATED_B]
00000111_0,0,0,1,1,5,3,5,landscape,[SIMULATED_B]
00000104_0,1,1,0,0,5,1,4,landscape,[SIMULATED_B]
00000262_0,0,1,1,1,1,5,5,landscape,[SIMULATED_B]
00000147_0,1,0,0,0,2,5,3,landscape,[SIMULATED_B]
00000382_0,0,1,1,0,1,5,4,landscape,[SIMULATED_B]
00000582_0,1,0,1,0,2,4,4,landscape,[SIMULATED_B]
00000606_0,1,0,0,0,5,4,5,landscape,[SIMULATED_B]
00000355_0,1,1,0,0,3,2,5,landscape,[SIMULATED_B]
00000333_0,0,0,1,0,3,2,4,landscape,[SIMULATED_B]
00000212_0,0,0,1,1,1,5,5,landscape,[SIMULATED_B]
00000078_0,1,1,1,1,3,2,4,landscape,[SIMULATED_B]
00000159_0,1,0,0,1,2,1,4,landscape,[SIMULATED_B]
00000125_0,0,1,0,0,1,5,4,landscape,[SIMULATED_B]
00000436_0,0,0,0,0,3,3,4,landscape,[SIMULATED_B]
00000183_0,1,0,0,1,1,5,4,landscape,[SIMULATED_B]
00000186_0,0,0,1,0,3,2,4,landscape,[SIMULATED_B]
00000113_1,0,1,1,0,5,2,4,landscape,[SIMULATED_B]
00000706_0,0,0,1,1,1,5,5,landscape,[SIMULATED_B]
00000316_0,1,0,1,0,5,1,4,landscape,[SIMULATED_B]
00000127_0,1,0,0,1,5,3,5,landscape,[SIMULATED_B]
00000657_0,1,0,1,1,1,5,4,landscape,[SIMULATED_B]
00000037_3,1,0,1,0,3,3,4,landscape,[SIMULATED_B]
00000027_3,1,1,0,0,2,5,3,landscape,[SIMULATED_B]
00000304_3,1,1,0,0,5,1,4,landscape,[SIMULATED_B]
00000206_0,0,0,0,0,3,2,4,landscape,[SIMULATED_B]
00000259_0,1,0,1,0,4,1,4,landscape,[SIMULATED_B]
00000093_0,0,1,1,0,4,1,4,landscape,[SIMULATED_B]
00000016_2,1,1,0,0,4,2,5,landscape,[SIMULATED_B]
00000139_9,1,1,1,0,4,2,3,landscape,[SIMULATED_B]
00000106_0,0,0,0,1,5,1,4,landscape,[SIMULATED_B]
00000010_4,0,1,0,1,1,4,5,landscape,[SIMULATED_B]
00000040_1,0,0,0,1,5,2,4,landscape,[SIMULATED_B]
00000401_0,1,1,0,1,4,2,3,landscape,[SIMULATED_B]
00000023_3,0,0,0,0,4,1,4,landscape,[SIMULATED_B]
00000121_0,1,1,1,0,4,2,3,landscape,[SIMULATED_B]
00000440_0,1,1,0,1,3,3,4,landscape,[SIMULATED_B]
00000106_0,0,1,1,1,4,2,3,landscape,[SIMULATED_B]
00000101_0,1,1,0,1,4,2,4,landscape,[SIMULATED_B]
00000287_0,1,1,0,1,4,2,3,landscape,[SIMULATED_B]
00000120_1,1,0,1,0,4,2,5,landscape,[SIMULATED_B]
00000080_0,1,1,1,1,5,1,3,landscape,[SIMULATED_B]
00000065_15,1,0,0,0,3,2,3,landscape,[SIMULATED_B]
00000017_0,0,0,1,1,4,3,4,landscape,[SIMULATED_B]
00000460_1,1,0,0,1,3,1,4,landscape,[SIMULATED_B]
00000101_0,1,0,0,1,4,1,4,landscape,[SIMULATED_B]
00000426_0,1,1,0,0,4,1,4,landscape,[SIMULATED_B]
00000260_0,1,0,0,1,3,1,3,landscape,[SIMULATED_B]
00000449_1,1,1,0,0,1,5,5,landscape,[SIMULATED_B]
00000389_1,0,0,1,1,5,2,4,landscape,[SIMULATED_B]
00000140_0,1,1,1,1,3,2,3,landscape,[SIMULATED_B]
00000031_2,0,0,0,0,5,2,4,landscape,[SIMULATED_B]
00000057_1,1,0,0,1,5,3,4,landscape,[SIMULATED_B]
00000027_3,1,0,0,0,1,4,4,landscape,[SIMULATED_B]
00000255_2,0,1,0,0,1,5,4,landscape,[SIMULATED_B]
00000483_0,0,0,1,1,4,2,5,landscape,[SIMULATED_B]
00000282_0,0,0,0,1,1,5,3,landscape,[SIMULATED_B]
00000136_0,1,1,1,0,5,2,3,landscape,[SIMULATED_B]
00000034_2,0,1,0,0,5,1,5,landscape,[SIMULATED_B]
00000228_0,0,1,1,0,4,1,4,landscape,[SIMULATED_B]
00000043_1,1,1,1,0,3,1,3,landscape,[SIMULATED_B]
00000184_0,1,0,1,1,5,1,3,landscape,[SIMULATED_B]
00000017_1,0,0,1,1,2,4,5,landscape,[SIMULATED_B]
00000159_2,0,1,1,0,4,2,4,landscape,[SIMULATED_B]
00000180_0,1,0,0,0,4,1,4,landscape,[SIMULATED_B]
00000499_0,1,1,0,1,3,2,3,landscape,[SIMULATED_B]
00000341_1,0,0,1,1,4,1,4,landscape,[SIMULATED_B]
00000226_0,1,1,1,1,3,2,5,landscape,[SIMULATED_B]
00000212_0,1,0,1,1,1,5,3,landscape,[SIMULATED_B]
00000078_1,0,0,0,1,5,2,5,landscape,[SIMULATED_B]
00000174_0,1,0,0,1,3,2,3,landscape,[SIMULATED_B]
